,close,high,low
2024-03-24,67208.33,67623.78,63802.82
2024-03-25,69892.26,71202.65,66400.46
2024-03-26,69990.22,71558.85,69294.69
2024-03-27,69434.46,71762.06,68384.71
2024-03-28,70789.57,71593.93,68864.89
2024-03-29,69903.72,70925.04,69059.03
2024-03-30,69629.99,70356.07,69586.01
2024-03-31,71312.91,71389.78,69601.39
2024-04-01,69686.37,71325.61,68074.92
2024-04-02,65466.81,69703.1,64571.71
2024-04-03,65986.11,66925.93,64514.87
2024-04-04,68523.79,69343.32,65081.42
2024-04-05,67860.53,68772.34,65994.65
2024-04-06,68913.79,69672.09,67483.82
2024-04-07,69357.32,70303.08,68877.35
2024-04-08,71629.36,72750.51,69064.41
2024-04-09,69129.48,71748.92,68213.24
2024-04-10,70628.54,71150.5,67480.7
2024-04-11,70026.43,71297.81,69558.05
2024-04-12,67158.3,71246.69,65257.57
2024-04-13,64021.36,68422.6,61079.47
2024-04-14,65765.64,65874.88,62229.8
2024-04-15,63447.27,66902.94,62328.07
2024-04-16,63824.7,64385.46,61667.72
2024-04-17,61283.74,64503.77,59682.79
2024-04-18,63511.2,64181.25,60829.27
2024-04-19,63848.26,65491.94,59607.49
2024-04-20,64979.21,65453.07,63140.68
2024-04-21,64955.82,65724.22,64271.77
2024-04-22,66854.24,67257.68,64536.42
2024-04-23,66415.06,67211.15,65835.93
2024-04-24,64263.95,67067.52,63556.97
2024-04-25,64488.49,65279.7,62759.65
2024-04-26,63750.63,64795.15,63307.56
2024-04-27,63434.44,63904.85,62408.97
2024-04-28,63111.34,64335.08,62769.01
2024-04-29,63847.54,64192.54,61768.51
2024-04-30,60633.97,64721.13,59097.29
2024-05-01,58277.44,60788.52,56516.09
2024-05-02,59083.85,59628.08,56936.28
2024-05-03,62917.45,63355.83,58835.76
2024-05-04,63904.51,64539.14,62587.84
2024-05-05,64037.5,64634.43,62923.47
2024-05-06,63168.44,65517.33,62715.9
2024-05-07,62323.36,64403.15,62274.09
2024-05-08,61179.81,63004.6,60867.52
2024-05-09,63077.18,63429.98,60623.94
2024-05-10,60790.82,63469.13,60181.24
2024-05-11,60823.19,61489.54,60474.73
2024-05-12,61459.22,61838.51,60600.9
2024-05-13,62932.29,63445.72,60758.38
2024-05-14,61548.48,63097.07,61094.77
2024-05-15,66245.16,66467.29,61325.48
2024-05-16,65250.53,66760.54,64600.05
2024-05-17,67051.35,67489.24,65120.39
2024-05-18,66927.56,67397.7,66633.01
2024-05-19,66268.25,67696.21,65878.18
2024-05-20,71430.23,71546.4,66071.74
2024-05-21,70141.17,71964.79,69158.99
2024-05-22,69123.56,70643.89,68952.24
2024-05-23,67946.35,70037.76,66370.0
2024-05-24,68548.33,69264.17,66613.35
2024-05-25,69288.95,69599.81,68498.87
2024-05-26,68488.29,69511.53,68156.05
2024-05-27,69386.83,70613.89,68227.32
2024-05-28,68330.84,69533.54,67206.37
2024-05-29,67576.81,68858.38,67099.33
2024-05-30,68346.19,69520.94,67107.22
2024-05-31,67482.25,69012.82,66605.09
2024-06-01,67721.6,67831.31,67383.55
2024-06-02,67738.74,68409.58,67279.96
2024-06-03,68799.6,70283.97,67584.62
2024-06-04,70548.51,71090.99,68553.54
2024-06-05,71117.68,71782.2,70371.34
2024-06-06,70772.35,71642.27,70113.83
2024-06-07,69330.51,71943.4,68439.15
2024-06-08,69303.58,69547.91,69152.66
2024-06-09,69639.42,69837.26,69131.01
2024-06-10,69505.57,70172.0,69166.61
2024-06-11,67319.41,69550.65,66054.78
2024-06-12,68247.0,70021.47,66896.79
2024-06-13,66742.54,68428.43,66224.61
2024-06-14,66006.13,67317.79,65026.62
2024-06-15,66188.81,66419.48,65832.26
2024-06-16,66631.59,66916.83,66012.05
2024-06-17,66481.73,67264.71,65062.53
2024-06-18,65158.02,66570.67,64033.69
2024-06-19,64950.82,65708.56,64656.84
2024-06-20,64847.89,66462.52,64527.9
2024-06-21,64119.34,65018.39,63350.87
2024-06-22,64250.18,64500.0,63924.68
2024-06-23,63181.02,64504.84,63154.88
2024-06-24,60270.95,63335.53,58443.98
2024-06-25,61796.56,62385.37,60232.04
2024-06-26,60824.43,62471.55,60684.69
2024-06-27,61630.1,62341.3,60562.27
2024-06-28,60324.3,62168.03,59907.92
2024-06-29,60905.3,61129.31,60294.22
2024-06-30,62685.88,62949.76,60637.5
2024-07-01,62841.27,63800.98,62462.2
2024-07-02,62044.48,63219.74,61453.08
2024-07-03,60157.2,62198.73,59373.07
2024-07-04,57041.11,60428.43,56728.63
2024-07-05,56646.24,57494.97,53528.09
2024-07-06,58255.65,58495.08,56035.03
2024-07-07,55866.6,58452.39,55734.13
2024-07-08,56709.76,58166.93,54305.08
2024-07-09,58047.2,58289.53,56296.1
2024-07-10,57725.78,59463.57,57165.19
2024-07-11,57348.75,59494.11,57072.63
2024-07-12,57913.68,58543.78,56554.34
2024-07-13,59231.06,59866.89,57784.15
2024-07-14,60818.77,61424.95,59222.6
2024-07-15,64765.55,64936.75,60688.12
2024-07-16,65087.61,65399.48,62434.72
2024-07-17,64096.64,66131.67,63872.53
2024-07-18,63981.43,65118.55,63235.08
2024-07-19,66708.49,67468.45,63305.25
2024-07-20,67163.86,67626.82,66291.51
2024-07-21,68176.98,68370.58,65840.58
2024-07-22,67567.71,68490.59,66594.51
2024-07-23,65939.83,67774.86,65465.88
2024-07-24,65375.53,67120.99,65112.45
2024-07-25,65794.0,66154.31,63429.11
2024-07-26,67925.17,68219.43,65734.24
2024-07-27,67904.55,69416.52,66675.48
2024-07-28,68252.75,68306.74,67054.94
2024-07-29,66782.78,70027.05,66436.99
2024-07-30,66180.04,66989.18,65293.95
2024-07-31,64617.83,66826.66,64508.96
2024-08-01,65300.21,65590.04,62238.44
2024-08-02,61422.3,65548.28,61165.12
2024-08-03,60679.28,62154.66,59838.49
2024-08-04,58135.89,61075.03,57174.97
2024-08-05,54031.82,58275.19,49202.81
2024-08-06,56057.67,57077.92,53987.77
2024-08-07,55130.45,57753.96,54580.16
2024-08-08,61708.53,62717.23,54751.57
